"row ID","age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed"
"1",37,"services","married","high.school","no","yes","no","telephone","may","mon",226,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"2",35,"blue-collar","married","basic.6y","no","yes","no","telephone","may","mon",146,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"3",54,"management","married","basic.4y","unknown","yes","no","telephone","may","mon",230,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"4",54,"admin.","married","high.school","no","no","no","telephone","may","mon",160,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"5",53,"admin.","single","professional.course","no","no","no","telephone","may","mon",179,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"6",44,"blue-collar","single","basic.9y","no","yes","no","telephone","may","mon",91,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"7",44,"blue-collar","single","basic.4y","unknown","yes","yes","telephone","may","mon",177,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"8",41,"management","married","basic.6y","no","no","no","telephone","may","mon",200,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"9",41,"blue-collar","divorced","basic.4y","unknown","yes","no","telephone","may","mon",1575,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"10",55,"technician","married","university.degree","no","no","no","telephone","may","mon",349,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"11",50,"blue-collar","married","basic.4y","unknown","yes","no","telephone","may","mon",193,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"12",33,"unemployed","married","basic.9y","no","no","no","telephone","may","mon",545,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"13",42,"blue-collar","married","basic.6y","no","no","yes","telephone","may","mon",583,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"14",42,"management","married","university.degree","no","no","no","telephone","may","mon",426,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"15",49,"blue-collar","married","basic.4y","no","no","no","telephone","may","mon",55,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"16",54,"services","married","unknown","no","no","no","telephone","may","mon",400,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"17",35,"services","divorced","high.school","no","yes","no","telephone","may","mon",194,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
