row ID,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,Final_Y
1,56,housemaid,married,basic.4y,no,no,no,telephone,may,mon,261,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
2,57,services,married,high.school,unknown,no,no,telephone,may,mon,149,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
3,40,admin.,married,basic.6y,no,no,no,telephone,may,mon,151,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
4,56,services,married,high.school,no,no,yes,telephone,may,mon,307,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
5,45,services,married,basic.9y,unknown,no,no,telephone,may,mon,198,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
6,59,admin.,married,professional.course,no,no,no,telephone,may,mon,139,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
7,41,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,217,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
8,24,technician,single,professional.course,no,yes,no,telephone,may,mon,380,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
9,25,services,single,high.school,no,yes,no,telephone,may,mon,50,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
10,41,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,55,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
11,25,services,single,high.school,no,yes,no,telephone,may,mon,222,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
12,29,blue-collar,single,high.school,no,no,yes,telephone,may,mon,137,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
13,57,housemaid,divorced,basic.4y,no,yes,no,telephone,may,mon,293,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
14,54,retired,married,basic.9y,unknown,yes,yes,telephone,may,mon,174,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
15,35,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,312,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
16,46,blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,mon,440,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
17,50,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,353,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
18,39,management,single,basic.9y,unknown,no,no,telephone,may,mon,195,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
19,30,unemployed,married,high.school,no,no,no,telephone,may,mon,38,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
20,55,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,262,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
21,55,retired,single,high.school,no,yes,no,telephone,may,mon,342,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
22,41,technician,single,high.school,no,yes,no,telephone,may,mon,181,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
23,37,admin.,married,high.school,no,yes,no,telephone,may,mon,172,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
24,35,technician,married,university.degree,no,no,yes,telephone,may,mon,99,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
25,59,technician,married,unknown,no,yes,no,telephone,may,mon,93,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
26,39,self-employed,married,basic.9y,unknown,no,no,telephone,may,mon,233,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
27,54,technician,single,university.degree,unknown,no,no,telephone,may,mon,255,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
28,55,unknown,married,university.degree,unknown,unknown,unknown,telephone,may,mon,362,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
29,46,admin.,married,unknown,no,no,no,telephone,may,mon,348,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
30,59,technician,married,unknown,no,yes,no,telephone,may,mon,386,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
31,49,blue-collar,married,unknown,no,no,no,telephone,may,mon,73,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
32,54,blue-collar,divorced,basic.4y,no,no,no,telephone,may,mon,208,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
33,55,unknown,married,basic.4y,unknown,yes,no,telephone,may,mon,336,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
34,34,services,married,high.school,no,no,no,telephone,may,mon,365,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
35,52,technician,married,basic.9y,no,yes,no,telephone,may,mon,1666,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
36,41,admin.,married,university.degree,no,yes,no,telephone,may,mon,577,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
37,56,technician,married,basic.4y,no,yes,no,telephone,may,mon,137,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
38,58,management,unknown,university.degree,no,yes,no,telephone,may,mon,366,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
39,32,entrepreneur,married,high.school,no,yes,no,telephone,may,mon,314,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
40,38,admin.,single,professional.course,no,no,no,telephone,may,mon,160,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
41,57,admin.,married,university.degree,no,no,yes,telephone,may,mon,212,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
42,44,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,188,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
43,42,technician,single,professional.course,unknown,no,no,telephone,may,mon,22,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
44,57,admin.,married,university.degree,no,yes,yes,telephone,may,mon,616,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
45,40,blue-collar,married,basic.9y,no,no,yes,telephone,may,mon,178,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
46,35,admin.,married,university.degree,no,yes,no,telephone,may,mon,355,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
47,45,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,225,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
48,39,housemaid,married,basic.4y,no,no,yes,telephone,may,mon,266,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
49,60,admin.,married,high.school,no,no,no,telephone,may,mon,253,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
50,55,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,269,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
51,55,technician,married,professional.course,unknown,yes,no,telephone,may,mon,135,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
52,50,management,married,university.degree,unknown,no,yes,telephone,may,mon,161,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
53,45,services,married,high.school,unknown,yes,no,telephone,may,mon,787,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
54,55,unemployed,married,professional.course,unknown,yes,yes,telephone,may,mon,145,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
55,25,technician,single,university.degree,no,yes,no,telephone,may,mon,174,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
56,47,entrepreneur,married,university.degree,unknown,no,no,telephone,may,mon,449,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
57,51,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,812,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
58,42,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,164,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
59,42,blue-collar,married,basic.6y,unknown,no,no,telephone,may,mon,366,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
60,48,admin.,married,high.school,no,no,no,telephone,may,mon,357,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
61,37,admin.,married,university.degree,no,no,no,telephone,may,mon,232,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
62,33,admin.,married,unknown,no,yes,no,telephone,may,mon,273,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
63,56,admin.,married,basic.9y,no,yes,no,telephone,may,mon,158,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
64,44,management,divorced,university.degree,no,yes,no,telephone,may,mon,172,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
65,47,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,176,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
66,57,unknown,married,unknown,unknown,no,no,telephone,may,mon,211,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
67,37,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,214,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
68,33,services,married,high.school,unknown,yes,no,telephone,may,mon,337,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
69,55,management,married,unknown,unknown,yes,no,telephone,may,mon,272,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
70,42,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,208,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
71,51,blue-collar,married,basic.4y,unknown,unknown,unknown,telephone,may,mon,212,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
72,38,admin.,married,high.school,unknown,no,no,telephone,may,mon,165,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
73,49,entrepreneur,married,university.degree,unknown,yes,no,telephone,may,mon,1042,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,1
74,38,technician,single,university.degree,no,no,yes,telephone,may,mon,20,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
75,31,admin.,divorced,high.school,no,no,no,telephone,may,mon,246,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
76,41,management,married,basic.6y,no,no,no,telephone,may,mon,529,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
77,39,admin.,married,university.degree,no,yes,yes,telephone,may,mon,192,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
78,49,technician,married,basic.9y,no,no,no,telephone,may,mon,1467,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,1
79,34,admin.,married,high.school,no,yes,no,telephone,may,mon,188,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
80,35,admin.,married,university.degree,no,yes,no,telephone,may,mon,180,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
81,57,unknown,married,unknown,unknown,yes,no,telephone,may,mon,48,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
82,60,admin.,married,unknown,unknown,no,yes,telephone,may,mon,213,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
83,45,services,married,professional.course,no,yes,no,telephone,may,mon,221,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
84,53,admin.,divorced,university.degree,unknown,no,no,telephone,may,mon,287,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
85,37,technician,single,professional.course,no,no,no,telephone,may,mon,197,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
86,44,blue-collar,married,basic.6y,no,no,no,telephone,may,mon,257,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
87,54,services,married,unknown,no,yes,no,telephone,may,mon,229,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
88,52,admin.,divorced,university.degree,no,no,no,telephone,may,mon,197,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
89,52,admin.,divorced,university.degree,no,no,no,telephone,may,mon,190,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
90,43,services,single,high.school,unknown,no,no,telephone,may,mon,21,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
